Zip_code;Zip_name;Municipality_name;Municipality_code;NUTS3_name;NUTS3_code
33380;Pitkäniemi;Nokia;536;Pirkanmaa;6
33400;Luoteis-Tampere;Tampere;837;Pirkanmaa;6
33410;Lentävänniemi;Tampere;837;Pirkanmaa;6
33420;Lamminpää;Tampere;837;Pirkanmaa;6
33430;Vuorentausta;Ylöjärvi;980;Pirkanmaa;6
33450;Siivikkala;Ylöjärvi;980;Pirkanmaa;6
33470;Ylöjärvi Keskus;Ylöjärvi;980;Pirkanmaa;6
33480;Manninmäki-Haavisto;Ylöjärvi;980;Pirkanmaa;6
33500;Osmonmäki-Petsamo;Tampere;837;Pirkanmaa;6
33520;Keskussairaala-alue-Kauppi;Tampere;837;Pirkanmaa;6
33530;Kissanmaa;Tampere;837;Pirkanmaa;6
33540;Kaleva;Tampere;837;Pirkanmaa;6
33560;Takahuhti;Tampere;837;Pirkanmaa;6
33580;Atala-Linnainmaa;Tampere;837;Pirkanmaa;6
33610;Olkahinen-Tasanne;Tampere;837;Pirkanmaa;6
33680;Aitolahti;Tampere;837;Pirkanmaa;6
33700;Messukylä;Tampere;837;Pirkanmaa;6
33710;Kaukajärvi;Tampere;837;Pirkanmaa;6
33720;Hervanta;Tampere;837;Pirkanmaa;6
33730;Leinola-Vehmainen;Tampere;837;Pirkanmaa;6
33800;Nekala;Tampere;837;Pirkanmaa;6
33820;Koivistonkylä;Tampere;837;Pirkanmaa;6
33840;Peltolammi;Tampere;837;Pirkanmaa;6
33850;Multisilta;Tampere;837;Pirkanmaa;6
33870;Vuores;Tampere;837;Pirkanmaa;6
33880;Höytämö;Lempäälä;418;Pirkanmaa;6
33900;Härmälä-Rantaperkiö;Tampere;837;Pirkanmaa;6
33920;Toivio;Pirkkala;604;Pirkanmaa;6
33950;Killo;Pirkkala;604;Pirkanmaa;6
33960;Suuppa;Pirkkala;604;Pirkanmaa;6
33980;Pirkkala kk;Pirkkala;604;Pirkanmaa;6
34110;Lakiala;Ylöjärvi;980;Pirkanmaa;6
34130;Ylinen;Ylöjärvi;980;Pirkanmaa;6
34140;Mutala;Ylöjärvi;980;Pirkanmaa;6
34150;Kyrönlahti;Ylöjärvi;980;Pirkanmaa;6
34180;Länsi-Teisko;Ylöjärvi;980;Pirkanmaa;6
34240;Kämmenteisko;Tampere;837;Pirkanmaa;6
34260;Terälahti;Tampere;837;Pirkanmaa;6
34270;Velaatta;Tampere;837;Pirkanmaa;6
34300;Kuru Keskus;Ylöjärvi;980;Pirkanmaa;6
34320;Parkkuu;Ylöjärvi;980;Pirkanmaa;6
34330;Poikelus;Ylöjärvi;980;Pirkanmaa;6
34410;Murole;Ruovesi;702;Pirkanmaa;6
34420;Muroleen Kanava;Ruovesi;702;Pirkanmaa;6
34430;Kekkonen;Ruovesi;702;Pirkanmaa;6
34450;Jäminkipohja;Ruovesi;702;Pirkanmaa;6
34510;Luode;Ylöjärvi;980;Pirkanmaa;6
34530;Länsi-Aure;Ylöjärvi;980;Pirkanmaa;6
34550;Itä-Aure;Ylöjärvi;980;Pirkanmaa;6
34600;Ruovesi Keskus-Nenonen;Ruovesi;702;Pirkanmaa;6
34640;Mustajärvi;Ruovesi;702;Pirkanmaa;6
34710;Vaskivesi;Virrat;936;Pirkanmaa;6
34730;Vaskuu;Virrat;936;Pirkanmaa;6
34740;Koro;Virrat;936;Pirkanmaa;6
34770;Kurjenkylä;Virrat;936;Pirkanmaa;6
34800;Virrat Keskus;Virrat;936;Pirkanmaa;6
34870;Visuvesi;Ruovesi;702;Pirkanmaa;6
34910;Äijänneva;Virrat;936;Pirkanmaa;6
34930;Liedenpohja;Virrat;936;Pirkanmaa;6
34950;Ohtola;Virrat;936;Pirkanmaa;6
34970;Toisvesi;Virrat;936;Pirkanmaa;6
34980;Killinkoski;Virrat;936;Pirkanmaa;6
35100;Orivesi Asemanseutu;Orivesi;562;Pirkanmaa;6
35220;Eräjärvi;Orivesi;562;Pirkanmaa;6
35240;Ristakallio;Orivesi;562;Pirkanmaa;6
35260;Leväslahti;Orivesi;562;Pirkanmaa;6
35270;Västilä;Orivesi;562;Pirkanmaa;6
35300;Orivesi Keskus;Orivesi;562;Pirkanmaa;6
35320;Hirsilä;Orivesi;562;Pirkanmaa;6
35400;Länkipohja;Jämsä;182;Keski-Suomi;13
35420;Talviainen;Orivesi;562;Pirkanmaa;6
35480;Längelmäki;Orivesi;562;Pirkanmaa;6
35500;Korkeakoski;Juupajoki;177;Pirkanmaa;6
35520;Pirttikangas;Juupajoki;177;Pirkanmaa;6
35530;Lyly;Juupajoki;177;Pirkanmaa;6
35540;Juupajoki;Juupajoki;177;Pirkanmaa;6
35550;Salokunta;Juupajoki;177;Pirkanmaa;6
35600;Halli;Jämsä;182;Keski-Suomi;13
35610;Pihlaisto;Jämsä;182;Keski-Suomi;13
35630;Suinula-Valkamanperä;Jämsä;182;Keski-Suomi;13
35700;Vilppula Keskus;Mänttä-Vilppula;508;Pirkanmaa;6
