Zip;Income
08200;20517
08350;21917
08360;0
08450;20420
08480;24304
08500;24160
08680;27143
08700;22884
08800;25385
09120;20861
09220;22627
09430;23214
09520;24014
09630;23091
09810;20888
09930;19407
10120;23352
10140;26244
10160;27146
10210;22963
10230;22090
10250;20506
10270;19693
10300;20596
10320;20035
10330;22470
10350;0
10360;22844
10380;22328
10410;17532
10420;19162
10440;18508
10470;18330
10480;21046
10520;20869
10570;18351
10600;20139
10620;21774
10640;24468
10650;21010
10660;20917
10680;20919
10710;22705
10820;20919
10900;20150
10940;23180
10960;22010
11100;20229
11120;22683
11130;22200
11310;23831
11710;23564
11910;22446
12100;20114
12130;20826
12170;19084
12210;22543
12240;24141
12310;21658
12350;23118
12380;22747
12400;22893
12450;22826
12520;24830
12540;23773
12600;22570
12630;22198
12640;23806
12700;19304
12750;19009
12820;21674
12920;20725
12950;21257
13100;20359
13110;21605
13130;20110
13200;19984
13210;21447
13220;24296
13250;17205
13270;26445
13300;25522
13330;26049
13430;24614
13500;22444
13530;0
13600;20319
13700;24737
13720;22739
13800;22155
13880;25118
13900;24111
14140;18982
14200;21368
14240;22900
14300;20865
14430;20282
14450;19197
14500;21707
14530;23811
14610;20887
14620;19617
14680;19736
14690;18165
14700;17992
14770;23104
14810;20953
14820;21469
14840;21046
14870;16251
14930;17347
14960;16737
14980;20012
15100;19453
15110;18701
15140;19135
15150;19214
15160;29778
15170;18305
15200;17865
15210;18029
15230;23612
15240;18936
15270;25622
15300;21813
15320;23780
15340;24418
15460;22118
15500;16679
15520;18936
15540;24257
15550;20269
15560;19894
15580;22123
15610;22479
15680;26216
15700;20794
15800;19386
15810;22030
15820;24487
15830;19690
15840;22065
15850;21063
15860;20951
15870;20360
15880;22634
15900;27721
15950;21980
15980;0
16100;20996
16160;17676
16200;17923
16230;18554
16260;16950
16270;18968
16280;21268
16300;20448
16310;23029
16320;24891
16330;21895
16350;19858
16390;22983
16450;20335
16500;23319
16510;21569
16540;20794
16600;20373
16610;21954
16630;22192
16670;19510
16710;24765
16730;24012
16790;21834
16800;19483
16900;19374
16960;19232
16970;13593
17110;23743
17120;24125
17130;22859
17150;22289
17200;19613
17220;17678
17240;17418
17320;19258
17410;18145
17430;18863
17440;18315
17450;19179
17470;19789
17500;17544
17510;19228
17530;18727
17610;17760
17630;17604
17710;18214
17740;18463
17780;18928
17800;17229
17840;18676
17850;16265
17870;17082
17930;16733
17950;0
17970;22328
18100;19534
18120;20776
18130;17622
18150;19614
18200;18178
18300;20464
18600;22408
19110;22020
19120;16456
19160;18378
19210;20092
19230;18488
19250;17978
19260;17039
19310;18501
19320;20672
19370;18066
19410;19428
19420;18354
19430;16531
19460;16092
19470;15994
19480;14684
19510;22985
19540;16326
19600;17178
19610;20105
19620;19201
19630;19958
19650;18167
19670;20231
19700;17226
19730;0
